Timestamp_ms,Sensor_Type,Sensor_Name,Value_X,Value_Y,Value_Z
1700000000000,1,MTK Accelerometer,0.000,9.800,0.00736
1700000000010,1,MTK Accelerometer,0.000,9.800,0.00363
1700000000020,1,MTK Accelerometer,0.000,9.800,0.00330
1700000000030,1,MTK Accelerometer,0.000,9.800,0.01142
1700000000040,1,MTK Accelerometer,0.000,9.800,0.01369
1700000000050,1,MTK Accelerometer,0.000,9.800,0.01995
1700000000060,1,MTK Accelerometer,0.000,9.800,0.02283
1700000000070,1,MTK Accelerometer,0.000,9.800,0.02392
1700000000080,1,MTK Accelerometer,0.000,9.800,0.03325
1700000000090,1,MTK Accelerometer,0.000,9.800,0.02637
1700000000100,1,MTK Accelerometer,0.000,9.800,0.04391
1700000000110,1,MTK Accelerometer,0.000,9.800,0.03837
1700000000120,1,MTK Accelerometer,0.000,9.800,0.03874
1700000000130,1,MTK Accelerometer,0.000,9.800,0.03914
1700000000140,1,MTK Accelerometer,0.000,9.800,0.04198
1700000000150,1,MTK Accelerometer,0.000,9.800,0.03927
1700000000160,1,MTK Accelerometer,0.000,9.800,0.05054
1700000000170,1,MTK Accelerometer,0.000,9.800,0.04877
1700000000180,1,MTK Accelerometer,0.000,9.800,0.05231
1700000000190,1,MTK Accelerometer,0.000,9.800,0.05349
1700000000200,1,MTK Accelerometer,0.000,9.800,0.03904
1700000000210,1,MTK Accelerometer,0.000,9.800,0.04440
1700000000220,1,MTK Accelerometer,0.000,9.800,0.05075
1700000000230,1,MTK Accelerometer,0.000,9.800,0.03800
1700000000240,1,MTK Accelerometer,0.000,9.800,0.05050
1700000000250,1,MTK Accelerometer,0.000,9.800,0.04844
1700000000260,1,MTK Accelerometer,0.000,9.800,0.05004
1700000000270,1,MTK Accelerometer,0.000,9.800,0.04912
1700000000280,1,MTK Accelerometer,0.000,9.800,0.03759
1700000000290,1,MTK Accelerometer,0.000,9.800,0.03639
1700000000300,1,MTK Accelerometer,0.000,9.800,0.04448
1700000000310,1,MTK Accelerometer,0.000,9.800,0.03086
1700000000320,1,MTK Accelerometer,0.000,9.800,0.03591
1700000000330,1,MTK Accelerometer,0.000,9.800,0.03076
1700000000340,1,MTK Accelerometer,0.000,9.800,0.02759
1700000000350,1,MTK Accelerometer,0.000,9.800,0.02142
1700000000360,1,MTK Accelerometer,0.000,9.800,0.01956
1700000000370,1,MTK Accelerometer,0.000,9.800,0.02353
1700000000380,1,MTK Accelerometer,0.000,9.800,0.01354
1700000000390,1,MTK Accelerometer,0.000,9.800,0.00124
1700000000400,1,MTK Accelerometer,0.000,9.800,0.01222
1700000000410,1,MTK Accelerometer,0.000,9.800,0.00497
1700000000420,1,MTK Accelerometer,0.000,9.800,-0.01084
1700000000430,1,MTK Accelerometer,0.000,9.800,-0.00412
1700000000440,1,MTK Accelerometer,0.000,9.800,-0.00890
1700000000450,1,MTK Accelerometer,0.000,9.800,-0.01499
1700000000460,1,MTK Accelerometer,0.000,9.800,-0.01871
1700000000470,1,MTK Accelerometer,0.000,9.800,-0.01949
1700000000480,1,MTK Accelerometer,0.000,9.800,-0.02527
1700000000490,1,MTK Accelerometer,0.000,9.800,-0.01815
1700000000500,1,MTK Accelerometer,0.000,9.800,-0.02607
1700000000510,1,MTK Accelerometer,0.000,9.800,-0.02978
1700000000520,1,MTK Accelerometer,0.000,9.800,-0.03438
1700000000530,1,MTK Accelerometer,0.000,9.800,-0.03797
1700000000540,1,MTK Accelerometer,0.000,9.800,-0.03384
1700000000550,1,MTK Accelerometer,0.000,9.800,-0.03419
1700000000560,1,MTK Accelerometer,0.000,9.800,-0.05269
1700000000570,1,MTK Accelerometer,0.000,9.800,-0.04854
1700000000580,1,MTK Accelerometer,0.000,9.800,-0.04582
1700000000590,1,MTK Accelerometer,0.000,9.800,-0.05472
1700000000600,1,MTK Accelerometer,0.000,9.800,-0.04420
1700000000610,1,MTK Accelerometer,0.000,9.800,-0.05512
1700000000620,1,MTK Accelerometer,0.000,9.800,-0.04524
1700000000630,1,MTK Accelerometer,0.000,9.800,-0.04691
1700000000640,1,MTK Accelerometer,0.000,9.800,-0.04219
1700000000650,1,MTK Accelerometer,0.000,9.800,-0.04960
