Timestamp_ms,Sensor_Type,Sensor_Name,Value_X,Value_Y,Value_Z
1700000000000.0,1,MTK Accelerometer,-0.01788,10.51074,0.43201
1700000000000.2,4,MTK Gyroscope,0.59897,-0.02815,0.00457
1700000000000.5,2,MTK Magnetometer,20.43664,-14.82532,34.92013
1700000000010.0,1,MTK Accelerometer,0.28118,10.55224,0.46305
1700000000010.2,4,MTK Gyroscope,0.54578,0.22859,0.11852
1700000000020.0,1,MTK Accelerometer,0.65796,10.35084,0.45587
1700000000020.2,4,MTK Gyroscope,0.40567,0.42525,0.21082
1700000000030.0,1,MTK Accelerometer,0.73890,10.02781,0.31327
1700000000030.2,4,MTK Gyroscope,0.20458,0.56451,0.26787
1700000000040.0,1,MTK Accelerometer,0.75573,9.69305,0.14518
1700000000040.2,4,MTK Gyroscope,-0.03409,0.59922,0.29145
1700000000050.0,1,MTK Accelerometer,0.66560,9.45895,0.01879
1700000000050.2,4,MTK Gyroscope,-0.27802,0.53416,0.27423
1700000000050.5,2,MTK Magnetometer,20.52600,-14.76256,35.04993
1700000000060.0,1,MTK Accelerometer,0.52708,9.24838,-0.26219
1700000000060.2,4,MTK Gyroscope,-0.47342,0.37617,0.17325
1700000000070.0,1,MTK Accelerometer,0.27816,9.07863,-0.37485
1700000000070.2,4,MTK Gyroscope,-0.55830,0.16344,0.09070
1700000000080.0,1,MTK Accelerometer,-0.06866,9.07000,-0.49616
1700000000080.2,4,MTK Gyroscope,-0.57725,-0.08059,-0.03628
1700000000090.0,1,MTK Accelerometer,-0.40242,9.11128,-0.49230
1700000000090.2,4,MTK Gyroscope,-0.52400,-0.29805,-0.14815
1700000000100.0,1,MTK Accelerometer,-0.78217,9.30506,-0.54320
1700000000100.2,4,MTK Gyroscope,-0.33160,-0.48014,-0.24455
1700000000100.5,2,MTK Magnetometer,20.00976,-14.99308,35.03056
1700000000110.0,1,MTK Accelerometer,-0.72608,9.70422,-0.35077
1700000000110.2,4,MTK Gyroscope,-0.13411,-0.59043,-0.28142
1700000000120.0,1,MTK Accelerometer,-0.77289,9.95952,-0.11737
1700000000120.2,4,MTK Gyroscope,0.11043,-0.56979,-0.28798
1700000000130.0,1,MTK Accelerometer,-0.64509,10.26706,0.09040
1700000000130.2,4,MTK Gyroscope,0.35550,-0.47684,-0.24890
1700000000140.0,1,MTK Accelerometer,-0.45926,10.58209,0.33140
1700000000140.2,4,MTK Gyroscope,0.50325,-0.31674,-0.16217
1700000000150.0,1,MTK Accelerometer,-0.09771,10.64229,0.49759
1700000000150.2,4,MTK Gyroscope,0.58757,-0.07996,-0.04392
1700000000150.5,2,MTK Magnetometer,20.10681,-14.96809,35.38604
