Timestamp_ms,Sensor_Type,Sensor_Name,Value_X,Value_Y,Value_Z
1700000000000.0,1,MTK Accelerometer,-0.02562,12.26145,0.45449
1700000000000.2,4,MTK Gyroscope,0.80651,0.00647,0.00974
1700000000000.5,2,MTK Magnetometer,19.43633,-11.80965,35.71087
1700000000010.0,1,MTK Accelerometer,0.11951,12.03504,0.39893
1700000000010.2,4,MTK Gyroscope,0.76444,0.06039,0.03884
1700000000020.0,1,MTK Accelerometer,0.48856,12.33571,0.51721
1700000000020.2,4,MTK Gyroscope,0.80777,0.11031,0.04450
1700000000030.0,1,MTK Accelerometer,0.64241,12.16737,0.59811
1700000000030.2,4,MTK Gyroscope,0.75617,0.12118,0.10618
1700000000040.0,1,MTK Accelerometer,0.87646,12.08505,0.75131
1700000000040.2,4,MTK Gyroscope,0.70929,0.17894,0.11633
1700000000050.0,1,MTK Accelerometer,1.09827,12.06689,0.67075
1700000000050.2,4,MTK Gyroscope,0.69756,0.22957,0.16868
1700000000050.5,2,MTK Magnetometer,20.48555,-12.16551,34.76929
1700000000060.0,1,MTK Accelerometer,1.25952,11.78696,0.76700
1700000000060.2,4,MTK Gyroscope,0.60587,0.26087,0.21030
1700000000070.0,1,MTK Accelerometer,1.10625,11.66868,0.81247
1700000000070.2,4,MTK Gyroscope,0.60524,0.27702,0.24454
1700000000080.0,1,MTK Accelerometer,1.13803,11.25552,0.72141
1700000000080.2,4,MTK Gyroscope,0.46501,0.32985,0.23410
1700000000090.0,1,MTK Accelerometer,1.45953,11.09826,0.87470
1700000000090.2,4,MTK Gyroscope,0.39135,0.33393,0.30052
1700000000100.0,1,MTK Accelerometer,1.41594,10.89089,0.75107
1700000000100.2,4,MTK Gyroscope,0.33204,0.38076,0.29996
1700000000100.5,2,MTK Magnetometer,21.01559,-11.85673,35.42181
1700000000110.0,1,MTK Accelerometer,1.24675,10.59635,0.68996
1700000000110.2,4,MTK Gyroscope,0.27909,0.39796,0.34366
1700000000120.0,1,MTK Accelerometer,1.36218,10.37066,0.85352
1700000000120.2,4,MTK Gyroscope,0.15635,0.44625,0.34697
1700000000130.0,1,MTK Accelerometer,1.28498,10.03827,0.74850
1700000000130.2,4,MTK Gyroscope,0.09370,0.40646,0.39688
1700000000140.0,1,MTK Accelerometer,1.17940,9.80721,0.70808
1700000000140.2,4,MTK Gyroscope,-0.04051,0.39683,0.39972
1700000000150.0,1,MTK Accelerometer,1.14276,9.52331,0.70658
1700000000150.2,4,MTK Gyroscope,-0.10977,0.39313,0.44402
1700000000150.5,2,MTK Magnetometer,20.32146,-12.06701,34.68948
1700000000160.0,1,MTK Accelerometer,1.01242,9.23274,0.74036
1700000000160.2,4,MTK Gyroscope,-0.21370,0.41361,0.48683
1700000000170.0,1,MTK Accelerometer,0.97855,8.98687,0.52936
1700000000170.2,4,MTK Gyroscope,-0.27524,0.38889,0.50165
1700000000180.0,1,MTK Accelerometer,0.76852,8.64848,0.31176
1700000000180.2,4,MTK Gyroscope,-0.29270,0.39429,0.52628
1700000000190.0,1,MTK Accelerometer,0.71225,8.36876,0.33924
1700000000190.2,4,MTK Gyroscope,-0.45822,0.32602,0.53750
1700000000200.0,1,MTK Accelerometer,0.74036,8.15924,0.25256
1700000000200.2,4,MTK Gyroscope,-0.53652,0.32687,0.51444
1700000000200.5,2,MTK Magnetometer,20.91643,-11.78272,34.47892
1700000000210.0,1,MTK Accelerometer,0.61625,8.18978,0.36323
1700000000210.2,4,MTK Gyroscope,-0.58705,0.23095,0.56175
1700000000220.0,1,MTK Accelerometer,0.42352,7.78512,0.03628
1700000000220.2,4,MTK Gyroscope,-0.64050,0.25750,0.55454
1700000000230.0,1,MTK Accelerometer,0.41618,7.67439,0.11470
1700000000230.2,4,MTK Gyroscope,-0.68513,0.20957,0.57202
1700000000240.0,1,MTK Accelerometer,0.30574,7.28261,0.09940
1700000000240.2,4,MTK Gyroscope,-0.71013,0.17879,0.57932
1700000000250.0,1,MTK Accelerometer,0.28862,7.58283,-0.19926
1700000000250.2,4,MTK Gyroscope,-0.76408,0.14139,0.60467
1700000000250.5,2,MTK Magnetometer,20.73559,-11.74340,34.79196
1700000000260.0,1,MTK Accelerometer,0.05567,7.39989,-0.49388
1700000000260.2,4,MTK Gyroscope,-0.76451,0.04535,0.60623
1700000000270.0,1,MTK Accelerometer,-0.04171,7.35802,-0.34546
1700000000270.2,4,MTK Gyroscope,-0.80313,0.01396,0.60080
1700000000280.0,1,MTK Accelerometer,0.09518,7.22181,-0.48612
1700000000280.2,4,MTK Gyroscope,-0.81824,-0.02911,0.62250
1700000000290.0,1,MTK Accelerometer,-0.01530,7.24452,-0.53953
1700000000290.2,4,MTK Gyroscope,-0.77479,-0.05200,0.56843
1700000000300.0,1,MTK Accelerometer,0.03125,7.43575,-0.49748
1700000000300.2,4,MTK Gyroscope,-0.77964,-0.11583,0.58148
1700000000300.5,2,MTK Magnetometer,21.08672,-12.42276,34.84845
1700000000310.0,1,MTK Accelerometer,-0.16521,7.47078,-0.75442
1700000000310.2,4,MTK Gyroscope,-0.75527,-0.14443,0.57577
1700000000320.0,1,MTK Accelerometer,-0.19732,7.66154,-0.61610
1700000000320.2,4,MTK Gyroscope,-0.69068,-0.18140,0.59603
1700000000330.0,1,MTK Accelerometer,-0.54273,7.75948,-0.65837
1700000000330.2,4,MTK Gyroscope,-0.65266,-0.22958,0.55171
1700000000340.0,1,MTK Accelerometer,-0.50737,7.97750,-0.68920
1700000000340.2,4,MTK Gyroscope,-0.61967,-0.28820,0.56999
1700000000350.0,1,MTK Accelerometer,-0.50426,8.14458,-0.82880
1700000000350.2,4,MTK Gyroscope,-0.52780,-0.31390,0.54423
1700000000350.5,2,MTK Magnetometer,21.44624,-12.81639,35.03520
1700000000360.0,1,MTK Accelerometer,-0.68132,8.34145,-0.83821
1700000000360.2,4,MTK Gyroscope,-0.46380,-0.33442,0.55470
1700000000370.0,1,MTK Accelerometer,-0.76456,8.68641,-0.80003
1700000000370.2,4,MTK Gyroscope,-0.40372,-0.38191,0.53301
1700000000380.0,1,MTK Accelerometer,-0.89461,8.85944,-0.70821
1700000000380.2,4,MTK Gyroscope,-0.30797,-0.38733,0.49066
1700000000390.0,1,MTK Accelerometer,-1.04052,9.02243,-0.78922
1700000000390.2,4,MTK Gyroscope,-0.23953,-0.36724,0.51196
1700000000400.0,1,MTK Accelerometer,-1.04760,9.39042,-0.65542
1700000000400.2,4,MTK Gyroscope,-0.15095,-0.38866,0.47230
1700000000400.5,2,MTK Magnetometer,21.08532,-11.99995,35.14210
1700000000410.0,1,MTK Accelerometer,-1.15897,9.64536,-0.74470
1700000000410.2,4,MTK Gyroscope,-0.05969,-0.39386,0.47246
1700000000420.0,1,MTK Accelerometer,-1.40279,9.97370,-0.65769
1700000000420.2,4,MTK Gyroscope,0.01968,-0.38618,0.42818
1700000000430.0,1,MTK Accelerometer,-1.31354,10.08331,-0.81377
1700000000430.2,4,MTK Gyroscope,0.12478,-0.38925,0.37573
1700000000440.0,1,MTK Accelerometer,-1.31988,10.49396,-0.59512
1700000000440.2,4,MTK Gyroscope,0.21649,-0.38011,0.39942
1700000000450.0,1,MTK Accelerometer,-1.31217,10.69589,-0.61455
1700000000450.2,4,MTK Gyroscope,0.31755,-0.36575,0.33071
1700000000450.5,2,MTK Magnetometer,21.35870,-12.32975,34.30376
1700000000460.0,1,MTK Accelerometer,-1.12088,10.98894,-0.45957
1700000000460.2,4,MTK Gyroscope,0.39454,-0.34198,0.32887
1700000000470.0,1,MTK Accelerometer,-1.15428,11.08994,-0.34620
1700000000470.2,4,MTK Gyroscope,0.48343,-0.32718,0.29989
1700000000480.0,1,MTK Accelerometer,-1.11917,11.49676,-0.21307
1700000000480.2,4,MTK Gyroscope,0.50865,-0.30839,0.24504
1700000000490.0,1,MTK Accelerometer,-1.32903,11.70139,-0.33093
1700000000490.2,4,MTK Gyroscope,0.57794,-0.25104,0.23458
1700000000500.0,1,MTK Accelerometer,-0.88539,11.80156,-0.21917
1700000000500.2,4,MTK Gyroscope,0.64955,-0.24852,0.19102
